FileName,DataSource,UniqueID,institutionCode,collectionCode,catalogueNumber,class,order,family,genus,specificEpithet,infraspecificEpithet,sex,lifeStage,country,locality,decimalLatitude,decimalLongitude,geodeticDatum,verbatimElevation,eventDate,measurementDeterminedDate,Patch,LightAngle1,LightAngle2,ProbeAngle1,ProbeAngle2,Replicate,Comments,Unnamed: 29
B16579MNTL_Splice17_3.txt,M,,Museums Victoria,,B16579,,Passeriformes,Ptilonorhynchidae,Sericulus,chrysocephalus,,male,adult,Australia,Richmond R,-28.48,152.97,,,U,2002-08-16,mantle ,45,0,45,0,3,,
B16619BEL_Splice17_1.txt,M,,Museums Victoria,,B16619,,Passeriformes,Paradisaeidae,Lophorina,magnificus,,male,adult,Australia,"Somerset, Cape York Peninsula",-10.75,142.58,,,U,2002-08-16,belly ,45,0,45,0,1,,
B16619BEL_Splice17_2.txt,M,,Museums Victoria,,B16619,,Passeriformes,Paradisaeidae,Lophorina,magnificus,,male,adult,Australia,"Somerset, Cape York Peninsula",-10.75,142.58,,,U,2002-08-16,belly ,45,0,45,0,2,,
B16619BEL_Splice17_3.txt,M,,Museums Victoria,,B16619,,Passeriformes,Paradisaeidae,Lophorina,magnificus,,male,adult,Australia,"Somerset, Cape York Peninsula",-10.75,142.58,,,U,2002-08-16,belly ,45,0,45,0,3,,
B16619BRE_Splice17_1.txt,M,,Museums Victoria,,B16619,,Passeriformes,Paradisaeidae,Lophorina,magnificus,,male,adult,Australia,"Somerset, Cape York Peninsula",-10.75,142.58,,,U,2002-08-16,breast ,45,0,45,0,1,,
B16619BRE_Splice17_2.txt,M,,Museums Victoria,,B16619,,Passeriformes,Paradisaeidae,Lophorina,magnificus,,male,adult,Australia,"Somerset, Cape York Peninsula",-10.75,142.58,,,U,2002-08-16,breast ,45,0,45,0,2,,
B16619BRE_Splice17_3.txt,M,,Museums Victoria,,B16619,,Passeriformes,Paradisaeidae,Lophorina,magnificus,,male,adult,Australia,"Somerset, Cape York Peninsula",-10.75,142.58,,,U,2002-08-16,breast ,45,0,45,0,3,,
B16619CRW_Splice17_1.txt,M,,Museums Victoria,,B16619,,Passeriformes,Paradisaeidae,Lophorina,magnificus,,male,adult,Australia,"Somerset, Cape York Peninsula",-10.75,142.58,,,U,2002-08-16,crown ,45,0,45,0,1,,
B16619CRW_Splice17_2.txt,M,,Museums Victoria,,B16619,,Passeriformes,Paradisaeidae,Lophorina,magnificus,,male,adult,Australia,"Somerset, Cape York Peninsula",-10.75,142.58,,,U,2002-08-16,crown ,45,0,45,0,2,,
B16619CRW_Splice17_3.txt,M,,Museums Victoria,,B16619,,Passeriformes,Paradisaeidae,Lophorina,magnificus,,male,adult,Australia,"Somerset, Cape York Peninsula",-10.75,142.58,,,U,2002-08-16,crown ,45,0,45,0,3,,
B16619MNTL_Splice17_1.txt,M,,Museums Victoria,,B16619,,Passeriformes,Paradisaeidae,Lophorina,magnificus,,male,adult,Australia,"Somerset, Cape York Peninsula",-10.75,142.58,,,U,2002-08-16,mantle ,45,0,45,0,1,,
B16619MNTL_Splice17_2.txt,M,,Museums Victoria,,B16619,,Passeriformes,Paradisaeidae,Lophorina,magnificus,,male,adult,Australia,"Somerset, Cape York Peninsula",-10.75,142.58,,,U,2002-08-16,mantle ,45,0,45,0,2,,
B16619MNTL_Splice17_3.txt,M,,Museums Victoria,,B16619,,Passeriformes,Paradisaeidae,Lophorina,magnificus,,male,adult,Australia,"Somerset, Cape York Peninsula",-10.75,142.58,,,U,2002-08-16,mantle ,45,0,45,0,3,,
B16619THR_Splice17_1.txt,M,,Museums Victoria,,B16619,,Passeriformes,Paradisaeidae,Lophorina,magnificus,,male,adult,Australia,"Somerset, Cape York Peninsula",-10.75,142.58,,,U,2002-08-16,throat ,45,0,45,0,1,,
B16619THR_Splice17_2.txt,M,,Museums Victoria,,B16619,,Passeriformes,Paradisaeidae,Lophorina,magnificus,,male,adult,Australia,"Somerset, Cape York Peninsula",-10.75,142.58,,,U,2002-08-16,throat ,45,0,45,0,2,,
B16619THR_Splice17_3.txt,M,,Museums Victoria,,B16619,,Passeriformes,Paradisaeidae,Lophorina,magnificus,,male,adult,Australia,"Somerset, Cape York Peninsula",-10.75,142.58,,,U,2002-08-16,throat ,45,0,45,0,3,,
B1665BRE_Splice17_001.txt,M,,Museums Victoria,,B1665,,Passeriformes,Monarchidae,Myiagra,rubecula,,female,adult,Australia,"Bunya Mountains, near Dalby",-26.85,151.57,,,1940,2017-09-15,breast ,45,0,45,0,1,,
B1665BRE_Splice17_002.txt,M,,Museums Victoria,,B1665,,Passeriformes,Monarchidae,Myiagra,rubecula,,female,adult,Australia,"Bunya Mountains, near Dalby",-26.85,151.57,,,1940,2017-09-15,breast ,45,0,45,0,2,,
