FileName,DataSource,UniqueID,institutionCode,collectionCode,catalogueNumber,class,order,family,genus,specificEpithet,infraspecificEpithet,sex,lifeStage,country,locality,decimalLatitude,decimalLongitude,geodeticDatum,verbatimElevation,eventDate,measurementDeterminedDate,Patch,LightAngle1,LightAngle2,ProbeAngle1,ProbeAngle2,Replicate,Comments,
5906CRW_Splice17_1,M,,Museums Victoria,,5906,,Strigiformes,Strigidae,Ninox,novaeseelandiae,,female,adult,Australia,Melbourne,-37.82,144.97,,,U,2005-02-16,crown ,45,0,45,0,1,,
5906CRW_Splice17_2,M,,Museums Victoria,,5906,,Strigiformes,Strigidae,Ninox,novaeseelandiae,,female,adult,Australia,Melbourne,-37.82,144.97,,,U,2005-02-16,crown ,45,0,45,0,2,,
5906CRW_Splice17_3,M,,Museums Victoria,,5906,,Strigiformes,Strigidae,Ninox,novaeseelandiae,,female,adult,Australia,Melbourne,-37.82,144.97,,,U,2005-02-16,crown ,45,0,45,0,3,,
5906MNTL_Splice17_1,M,,Museums Victoria,,5906,,Strigiformes,Strigidae,Ninox,novaeseelandiae,,female,adult,Australia,Melbourne,-37.82,144.97,,,U,2005-02-16,mantle ,45,0,45,0,1,,
5906MNTL_Splice17_2,M,,Museums Victoria,,5906,,Strigiformes,Strigidae,Ninox,novaeseelandiae,,female,adult,Australia,Melbourne,-37.82,144.97,,,U,2005-02-16,mantle ,45,0,45,0,2,,
5906MNTL_Splice17_3,M,,Museums Victoria,,5906,,Strigiformes,Strigidae,Ninox,novaeseelandiae,,female,adult,Australia,Melbourne,-37.82,144.97,,,U,2005-02-16,mantle ,45,0,45,0,3,,
B1000BEL_Splice17_1,M,,Museums Victoria,,B1000,,Pelecaniformes,Phalacrocoracidae,Phalacrocorax,carbo,,female,adult,Australia,Lake Victoria,-33.97,141.27,,,U,2027-10-15,belly ,45,0,45,0,1,,
B1000BEL_Splice17_2,M,,Museums Victoria,,B1000,,Pelecaniformes,Phalacrocoracidae,Phalacrocorax,carbo,,female,adult,Australia,Lake Victoria,-33.97,141.27,,,U,2027-10-15,belly ,45,0,45,0,2,,
B1000BEL_Splice17_3,M,,Museums Victoria,,B1000,,Pelecaniformes,Phalacrocoracidae,Phalacrocorax,carbo,,female,adult,Australia,Lake Victoria,-33.97,141.27,,,U,2027-10-15,belly ,45,0,45,0,3,,
B1000BRE_Splice17_1,M,,Museums Victoria,,B1000,,Pelecaniformes,Phalacrocoracidae,Phalacrocorax,carbo,,female,adult,Australia,Lake Victoria,-33.97,141.27,,,U,2027-10-15,breast ,45,0,45,0,1,,
B1000BRE_Splice17_2,M,,Museums Victoria,,B1000,,Pelecaniformes,Phalacrocoracidae,Phalacrocorax,carbo,,female,adult,Australia,Lake Victoria,-33.97,141.27,,,U,2027-10-15,breast ,45,0,45,0,2,,
B1000BRE_Splice17_3,M,,Museums Victoria,,B1000,,Pelecaniformes,Phalacrocoracidae,Phalacrocorax,carbo,,female,adult,Australia,Lake Victoria,-33.97,141.27,,,U,2027-10-15,breast ,45,0,45,0,3,,
B1000CRW_Splice17_1,M,,Museums Victoria,,B1000,,Pelecaniformes,Phalacrocoracidae,Phalacrocorax,carbo,,female,adult,Australia,Lake Victoria,-33.97,141.27,,,U,2027-10-15,crown ,45,0,45,0,1,,
B1000CRW_Splice17_2,M,,Museums Victoria,,B1000,,Pelecaniformes,Phalacrocoracidae,Phalacrocorax,carbo,,female,adult,Australia,Lake Victoria,-33.97,141.27,,,U,2027-10-15,crown ,45,0,45,0,2,,
B1000CRW_Splice17_3,M,,Museums Victoria,,B1000,,Pelecaniformes,Phalacrocoracidae,Phalacrocorax,carbo,,female,adult,Australia,Lake Victoria,-33.97,141.27,,,U,2027-10-15,crown ,45,0,45,0,3,,
B1000MNTL_Splice17_1,M,,Museums Victoria,,B1000,,Pelecaniformes,Phalacrocoracidae,Phalacrocorax,carbo,,female,adult,Australia,Lake Victoria,-33.97,141.27,,,U,2027-10-15,mantle ,45,0,45,0,1,,
B1000MNTL_Splice17_2,M,,Museums Victoria,,B1000,,Pelecaniformes,Phalacrocoracidae,Phalacrocorax,carbo,,female,adult,Australia,Lake Victoria,-33.97,141.27,,,U,2027-10-15,mantle ,45,0,45,0,2,,
B1000MNTL_Splice17_3,M,,Museums Victoria,,B1000,,Pelecaniformes,Phalacrocoracidae,Phalacrocorax,carbo,,female,adult,Australia,Lake Victoria,-33.97,141.27,,,U,2027-10-15,mantle ,45,0,45,0,3,,
B10202BEL_Splice17_1,M,,Museums Victoria,,B10202,,Pelecaniformes,Phalacrocoracidae,Microcarbo,melanoleucos,,female,adult,Australia,"Werribee, MMBW Farm, Lake Borrie",-38.02,144.57,,,1959,2029-10-15,belly ,45,0,45,0,1,"Nice clean feathers, to replace other dirtier specimens",
B10202BEL_Splice17_2,M,,Museums Victoria,,B10202,,Pelecaniformes,Phalacrocoracidae,Microcarbo,melanoleucos,,female,adult,Australia,"Werribee, MMBW Farm, Lake Borrie",-38.02,144.57,,,1959,2029-10-15,belly ,45,0,45,0,2,"Nice clean feathers, to replace other dirtier specimens",
B10202BEL_Splice17_3,M,,Museums Victoria,,B10202,,Pelecaniformes,Phalacrocoracidae,Microcarbo,melanoleucos,,female,adult,Australia,"Werribee, MMBW Farm, Lake Borrie",-38.02,144.57,,,1959,2029-10-15,belly ,45,0,45,0,3,"Nice clean feathers, to replace other dirtier specimens",
B10202BRE_Splice17_1,M,,Museums Victoria,,B10202,,Pelecaniformes,Phalacrocoracidae,Microcarbo,melanoleucos,,female,adult,Australia,"Werribee, MMBW Farm, Lake Borrie",-38.02,144.57,,,1959,2026-10-15,breast ,45,0,45,0,1,"Nice clean feathers, to replace other dirtier specimens",
B10202BRE_Splice17_2,M,,Museums Victoria,,B10202,,Pelecaniformes,Phalacrocoracidae,Microcarbo,melanoleucos,,female,adult,Australia,"Werribee, MMBW Farm, Lake Borrie",-38.02,144.57,,,1959,2026-10-15,breast ,45,0,45,0,2,"Nice clean feathers, to replace other dirtier specimens",
B10202BRE_Splice17_3,M,,Museums Victoria,,B10202,,Pelecaniformes,Phalacrocoracidae,Microcarbo,melanoleucos,,female,adult,Australia,"Werribee, MMBW Farm, Lake Borrie",-38.02,144.57,,,1959,2026-10-15,breast ,45,0,45,0,3,"Nice clean feathers, to replace other dirtier specimens",
B10202CRW_Splice17_1,M,,Museums Victoria,,B10202,,Pelecaniformes,Phalacrocoracidae,Microcarbo,melanoleucos,,female,adult,Australia,"Werribee, MMBW Farm, Lake Borrie",-38.02,144.57,,,1959,2026-10-15,crown ,45,0,45,0,1,"Nice clean feathers, to replace other dirtier specimens",
B10202CRW_Splice17_2,M,,Museums Victoria,,B10202,,Pelecaniformes,Phalacrocoracidae,Microcarbo,melanoleucos,,female,adult,Australia,"Werribee, MMBW Farm, Lake Borrie",-38.02,144.57,,,1959,2026-10-15,crown ,45,0,45,0,2,"Nice clean feathers, to replace other dirtier specimens",
B10202CRW_Splice17_3,M,,Museums Victoria,,B10202,,Pelecaniformes,Phalacrocoracidae,Microcarbo,melanoleucos,,female,adult,Australia,"Werribee, MMBW Farm, Lake Borrie",-38.02,144.57,,,1959,2026-10-15,crown ,45,0,45,0,3,"Nice clean feathers, to replace other dirtier specimens",
B10202MNTL_Splice17_1,M,,Museums Victoria,,B10202,,Pelecaniformes,Phalacrocoracidae,Microcarbo,melanoleucos,,female,adult,Australia,"Werribee, MMBW Farm, Lake Borrie",-38.02,144.57,,,1959,2026-10-15,mantle ,45,0,45,0,1,"Nice clean feathers, to replace other dirtier specimens",
B10202MNTL_Splice17_2,M,,Museums Victoria,,B10202,,Pelecaniformes,Phalacrocoracidae,Microcarbo,melanoleucos,,female,adult,Australia,"Werribee, MMBW Farm, Lake Borrie",-38.02,144.57,,,1959,2026-10-15,mantle ,45,0,45,0,2,"Nice clean feathers, to replace other dirtier specimens",
